City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pocone,-16.2567,-56.6228,24.91,29,0,1.95,BR,1690940499
1,ilulissat,69.2167,-51.1,6.01,100,100,2.06,GL,1690940327
2,iqaluit,63.7506,-68.5145,5.85,86,40,1.54,CA,1690940499
3,diu,20.7141,70.9822,26.96,84,100,7.47,IN,1690940500
4,iskushuban,10.2837,50.23,28.5,41,100,8.72,SO,1690940500
5,haiku-pauwela,20.9219,-156.3051,29.01,62,40,11.83,US,1690940500
6,ushuaia,-54.8,-68.3,-1.19,93,75,10.8,AR,1690940500
7,la'ie,21.6477,-157.9253,30.98,64,0,2.68,US,1690940501
8,tazovsky,67.4667,78.7,18.64,78,11,6.8,RU,1690940501
9,lebu,-37.6167,-73.65,9.7,85,12,1.53,CL,1690940501
10,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,60,20,2.0,RU,1690940501
11,port-aux-francais,-49.35,70.2167,3.79,81,83,19.5,TF,1690940502
12,flying fish cove,-10.4217,105.6791,24.82,88,100,4.12,CX,1690940502
13,fale old settlement,-9.3852,-171.2468,28.55,74,16,5.48,TK,1690940502
14,klyuchi,52.2667,79.1667,26.32,39,4,1.44,RU,1690940502
15,margaret river,-33.95,115.0667,14.84,92,100,3.91,AU,1690940410
16,punta arenas,-53.15,-70.9167,0.62,86,40,10.8,CL,1690940503
17,kodiak,57.79,-152.4072,20.73,56,0,2.57,US,1690940503
18,ancud,-41.8697,-73.8203,8.04,79,94,7.21,CL,1690940503
19,alice springs,-23.7,133.8833,18.75,34,0,5.66,AU,1690940504
20,waitangi,-43.9535,-176.5597,11.01,89,100,4.02,NZ,1690940504
21,nasir,15.5894,32.5634,29.38,57,95,5.65,SD,1690940504
22,albany,42.6001,-73.9662,17.55,74,60,1.84,US,1690940045
23,adamstown,-25.066,-130.1015,20.86,58,57,8.83,PN,1690940504
24,edinburgh of the seven seas,-37.0676,-12.3116,13.85,91,100,10.8,SH,1690940505
25,afaahiti,-17.75,-149.2833,26.93,72,100,5.55,PF,1690940505
26,kattivakkam,13.2167,80.3167,29.48,68,77,6.68,IN,1690940505
27,tukrah,32.5341,20.5791,25.93,69,0,1.34,LY,1690940505
28,bikenibeu village,1.3673,173.1241,30.98,66,75,1.54,KI,1690940506
29,kailua-kona,19.6406,-155.9956,29.17,73,75,5.14,US,1690940506
30,tolanaro,-25.0319,46.9987,19.04,77,20,3.09,MG,1690940506
31,caraballeda,10.6112,-66.8522,28.04,74,1,0.51,VE,1690940506
32,mahina,-17.5065,-149.489,27.87,61,20,9.26,PF,1690940507
33,lihue,21.9789,-159.3672,30.58,68,40,8.23,US,1690940507
34,sechura,-5.5569,-80.8222,22.01,76,6,6.12,PE,1690940507
35,blackmans bay,-43.0167,147.3167,10.96,69,19,2.08,AU,1690940508
36,nar'yan-mar,67.6713,53.087,18.63,72,0,4.41,RU,1690940508
37,santiago,-33.4569,-70.6483,19.63,55,0,2.57,CL,1690940253
38,olonkinbyen,70.9221,-8.7187,5.73,93,36,3.45,SJ,1690940508
39,cill airne,52.05,-9.5167,14.0,96,100,2.87,IE,1690940509
40,bilibino,68.0546,166.4372,15.33,49,17,1.27,RU,1690940509
41,laojunmiao,39.8333,97.7333,23.64,26,99,0.56,CN,1690940509
42,port mathurin,-19.6833,63.4167,23.38,67,0,9.67,MU,1690940509
43,hamilton,39.1834,-84.5333,23.88,67,0,2.57,US,1690940042
44,grytviken,-54.2811,-36.5092,-2.81,91,100,1.66,GS,1690940510
45,tyuratam,45.6507,63.3156,27.24,24,0,1.74,KZ,1690940510
46,mahriz,31.5917,54.4318,24.28,15,0,2.08,IR,1690940510
47,sinop,41.7711,34.8709,18.09,82,91,1.87,TR,1690940511
48,invercargill,-46.4,168.35,6.68,73,74,5.81,NZ,1690940511
49,hermanus,-34.4187,19.2345,9.33,74,2,3.37,ZA,1690940511
50,enewetak,11.3474,162.3373,28.19,78,60,4.92,MH,1690940511
51,pontian kechil,1.4866,103.3896,30.87,79,16,3.85,MY,1690940512
52,carnarvon,-24.8667,113.6333,22.08,72,3,11.87,AU,1690940512
53,reggane,26.7158,0.1714,38.54,10,41,4.35,DZ,1690940512
54,longyearbyen,78.2186,15.6401,8.91,81,0,1.54,SJ,1690940512
55,guerrero negro,27.9769,-114.0611,23.19,72,6,6.81,MX,1690940513
56,kohima,25.6667,94.1167,21.88,89,100,1.35,IN,1690940513
